brand,item,price,currency,source_url,observed_at,category,tier_hint,value_metric
지오다노,포플린 셔츠 346501,31800,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
지오다노,옥스포드 클래식 셔츠 346502,31800,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
지오다노,루즈핏 시어 셔츠 345519,35000,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
지오다노,오픈카라 루즈핏 셔츠 343905,23800,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
지오다노,테이퍼드핏 치노 팬츠 115522,19600,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
지오다노,슬림 슬랙스 412991,20000,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
지오다노,나일론 조거 팬츠 114535,25600,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
지오다노,남성 피케 폴로 티핑 반팔 카라티 015510,19000,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
스파오,파인코튼 릴랙스핏 셔츠 SPYWG23C01,19900,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
스파오,리넨블렌드 오버핏 반팔 셔츠 SPYWG25M04,39900,KRW,Google Shopping / bdata,2026-06-16,,저가,per_unit
라코스테,레터링 루즈핏 폴로 셔츠,107400,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
라코스테,뱃지 반팔 폴로셔츠,118300,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
타미힐피거,반팔 폴로 셔츠,111300,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
타미힐피거,Modern Athleisure 긴팔 티셔츠,97300,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
브룩스브라더스,OCBD 셔츠 그린,98100,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
브룩스브라더스,프라이데이 옥스포드 팝오버 셔츠,107400,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
지오지아,린넨 블렌드 패턴 자켓,129000,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
올젠,남성 여름 해링턴 점퍼,89000,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
닥스,레귤러핏 드레스셔츠 7종 택일,74100,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
커스텀멜로우,바이오 리사이클 평직 유니크 셔츠,104490,KRW,Google Shopping / bdata,2026-06-16,,중가,per_unit
폴로 랄프 로렌,클래식핏 폴로 베어 옥스포드 셔츠,299000,KRW,Ralph Lauren / Google Shopping / bdata scrape 일부 확인,2026-06-16,,프리미엄,per_unit
폴로 랄프 로렌,커스텀 슬림 베어 퍼포먼스 폴로 셔츠,189000,KRW,Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
폴로 랄프 로렌,클래식핏 옥스포드 셔츠,219000,KRW,Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
폴로 랄프 로렌,클래식핏 리넨 실크 워크셔츠,439000,KRW,Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
Theory,Men Motion Wool Standard Pants,435100,KRW,SSF Shop / Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
Theory,Men Precision Ponte Terrance Pants,167200,KRW,SSF Shop / Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
Theory,Men Outer Blend Active Pant,183200,KRW,SSF Shop / Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
Theory,Men Active Nylon Standard Pants,397100,KRW,SSF Shop / Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
갤럭시,New Design Outer 워싱 초어 재킷,314640,KRW,SSF Shop / Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
갤럭시,울 마이크로체크 레귤러핏 수트 재킷,353970,KRW,SSF Shop / Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
빈폴,리넨 솔리드 레귤러숏 셔츠,179100,KRW,SSF Shop / Google Shopping / bdata,2026-06-16,,프리미엄,per_unit
