brand,item,observed_sale_price_krw,confirmed_regular_price_krw,confirmed_current_sale_price_krw,source_url,observed_at,verification_status,notes
지오다노,포플린 셔츠 346501,31800,,,https://prod.danawa.com/info/?pcode=105877283,2026-06-16,부분확인,"다나와 원문 제목은 '지오다노 여성 봄 레귤러핏 긴팔 포플린 면 셔츠 346501'. 2026-06-17 현재 최저가 후보 26,790~29,790원이 보여 관측가 31,800원은 변동 가능값. 정가 분리 불가."
지오다노,옥스포드 클래식 셔츠 346502,31800,,,https://prod.danawa.com/info/?pcode=105064379,2026-06-16,부분확인,"다나와 원문 제목은 '지오다노 346502 옥스포드 클래식 셔츠 05346502'. 2026-06-17 현재 27,810원 등으로 변동. 정가 분리 불가."
지오다노,루즈핏 시어 셔츠 345519,35000,,46000,http://m.11st.co.kr/products/ma/9371529786,2026-06-16,부분확인,"11번가 상품명 일치. 2026-06-17 페이지 추출가는 46,000원. 관측가 35,000원과 불일치하므로 변동/판매처 차이 가능. 정가 분리 불가."
지오다노,오픈카라 루즈핏 셔츠 343905,23800,29800,26820,https://www.ssg.com/item/itemView.ssg?itemId=1000558069913,2026-06-16,확인,"SSG 상품명 일치. 2026-06-17 페이지에서 29,800원 및 26,820원 노출. 관측가 23,800원은 변동 가능값."
지오다노,테이퍼드핏 치노 팬츠 115522,19600,29800,19600,https://www.giordano.co.kr/shop/detail.php?pno=646DE94A104527D8EB4D551F0507E98C,2026-06-16,확인,"지오다노 공식몰 상품명 일치. 2026-06-17 페이지에서 29,800원/19,600원 동시 노출. 정가 29,800원, 실판매가 19,600원으로 분리 가능."
지오다노,슬림 슬랙스 412991,20000,39800,20000,https://www.giordano.co.kr/shop/detail.php?pno=506C11443B091BEF247CFCC14B48E3A3,2026-06-16,확인,"지오다노 공식몰 상품명 일치. 2026-06-17 페이지에서 39,800원/20,000원 동시 노출. 정가 39,800원, 실판매가 20,000원으로 분리 가능."
지오다노,나일론 조거 팬츠 114535,25600,,,https://m.danawa.com/product/product.html?code=48566432,2026-06-16,부분확인,"다나와 모바일 페이지에서 상품코드 114535와 19,800원 노출. 제목 인코딩 깨짐으로 상품명·정가 분리 재확인 필요. 관측가 25,600원은 변동 가능값."
지오다노,남성 피케 폴로 티핑 반팔 카라티 015510,19000,28000,,https://www.musinsa.com/products/5041092,2026-06-16,부분확인,"네이버 검색 결과 기준 무신사 상품명·제품번호 일치, 설명에 28,000원 노출. 페이지 직접 추출은 후기 페이지 위주라 현재 실판매가 분리 불가."
스파오,파인코튼 릴랙스핏 셔츠 SPYWG23C01,19900,39900,19900,https://www.spao.com/i/item?itemNo=2605002090&lowerVendNo=LV26000002&pageId=1779702450696&preCornerNo=R13703001_itemDetail,2026-06-16,확인,"스파오 공식몰 상품명·품번 일치. 2026-06-17 페이지에서 39,900원/19,900원 동시 노출."
스파오,리넨블렌드 오버핏 반팔 셔츠 SPYWG25M04,39900,39900,39900,https://www.spao.com/i/item?itemNo=2605001007&lowerVendNo=LV26000002,2026-06-16,확인,"스파오 공식몰 상품명·품번 일치. 2026-06-17 기준 대표 노출가 39,900원. 정가와 실판매가 분리할 할인 정보는 확인하지 못함."
